,start,end,energy(J)
347,2017-12-19 09:07:05,2017-12-19 09:38:09,2086625.3921307484
348,2017-12-19 15:30:00,2017-12-19 16:28:52,8346639.598793686
349,2017-12-19 18:32:01,2017-12-19 18:43:31,1002612.7642042409
350,2017-12-20 09:07:09,2017-12-20 09:26:43,1825420.908040014
351,2017-12-20 11:35:56,2017-12-20 13:50:26,6192796.081356906
352,2017-12-20 14:24:02,2017-12-20 15:55:58,7750728.109338367
353,2017-12-20 19:45:45,2017-12-20 21:20:32,7512722.07057679
354,2017-12-21 09:35:10,2017-12-21 09:47:24,1025226.3831764356
355,2017-12-21 10:45:45,2017-12-21 11:05:01,266732.83950617205
356,2017-12-21 19:06:30,2017-12-21 19:18:33,1101132.1279194918
357,2017-12-22 05:54:33,2017-12-22 06:06:39,1771091.0402231254
358,2017-12-22 07:16:46,2017-12-22 07:28:53,1765327.9377568169
359,2017-12-22 08:41:56,2017-12-22 09:47:40,10184201.177657487
360,2017-12-22 14:21:43,2017-12-22 15:03:13,6432061.425261651
361,2017-12-22 17:02:36,2017-12-22 17:37:41,4477872.818171222
362,2017-12-22 19:44:50,2017-12-22 20:20:17,2286944.0246323887
363,2017-12-23 06:43:29,2017-12-23 06:56:31,1885561.4852362052
364,2017-12-23 08:17:34,2017-12-23 08:32:25,1975362.6665324336
365,2017-12-23 10:28:01,2017-12-23 11:24:21,4340752.521252006
366,2017-12-23 12:47:51,2017-12-23 14:22:53,9042918.058507325
367,2017-12-23 17:47:18,2017-12-23 18:05:19,1775681.611242573
368,2017-12-23 19:01:51,2017-12-23 19:20:47,2079989.8869467063
369,2017-12-23 20:30:13,2017-12-23 21:45:45,3993557.422007137
370,2017-12-24 06:40:28,2017-12-24 06:53:46,1751643.5878379652
371,2017-12-24 08:25:54,2017-12-24 08:39:34,1690475.936890664
372,2017-12-24 11:38:40,2017-12-24 11:58:39,2005105.4966695157
373,2017-12-24 15:52:29,2017-12-24 16:07:01,1854418.0649909452
374,2017-12-24 17:57:31,2017-12-24 18:17:45,2016966.719354459
375,2017-12-24 19:12:56,2017-12-24 20:01:45,2393977.0407613576
376,2017-12-24 20:35:11,2017-12-24 20:52:44,1222330.833098689
377,2017-12-24 21:40:16,2017-12-24 21:57:49,2210770.472143826
378,2017-12-25 10:16:12,2017-12-25 10:25:50,960115.538960625
379,2017-12-25 12:50:33,2017-12-25 13:08:44,1887419.21486244
380,2017-12-25 14:31:23,2017-12-25 14:56:28,2757809.9042224875
381,2017-12-25 15:30:57,2017-12-25 15:47:54,2156753.038364875
382,2017-12-25 17:29:13,2017-12-25 17:32:16,149707.8936178822
