timestamps,S1_PID_0C_EngineRPM
2019-09-27 17:22:56.141249895+01:00,2730.0
2019-09-27 17:22:56.341049910+01:00,2900.0
2019-09-27 17:22:56.540999889+01:00,3050.0
2019-09-27 17:22:56.741050005+01:00,3223.0
2019-09-27 17:22:56.941999912+01:00,3347.0
2019-09-27 17:22:57.141050100+01:00,3482.0
2019-09-27 17:22:57.341099977+01:00,3586.0
2019-09-27 17:22:57.541300058+01:00,3566.0
2019-09-27 17:22:57.741100073+01:00,3531.0
2019-09-27 17:22:57.941200018+01:00,3269.0
2019-09-27 17:22:58.141249895+01:00,3002.0
2019-09-27 17:22:58.341249943+01:00,2755.0
2019-09-27 17:22:58.541300058+01:00,2505.0
2019-09-27 17:22:58.741250038+01:00,2255.0
2019-09-27 17:22:58.941200018+01:00,2003.0
2019-09-27 17:22:59.141299963+01:00,1757.0
2019-09-27 17:22:59.341300011+01:00,1518.0
2019-09-27 17:22:59.541249990+01:00,1473.0
2019-09-27 17:22:59.741250038+01:00,2012.0
2019-09-27 17:22:59.941750050+01:00,1834.0
2019-09-27 17:23:00.141350031+01:00,1889.0
2019-09-27 17:23:00.341399908+01:00,1989.0
2019-09-27 17:23:00.541549921+01:00,1980.0
2019-09-27 17:23:00.741400003+01:00,2031.0
2019-09-27 17:23:00.941450119+01:00,2116.0
2019-09-27 17:23:01.141649961+01:00,2192.0
2019-09-27 17:23:01.341449976+01:00,2279.0
2019-09-27 17:23:01.541599989+01:00,2365.0
2019-09-27 17:23:01.741600037+01:00,2445.0
2019-09-27 17:23:01.941450119+01:00,2507.0
2019-09-27 17:23:02.141499996+01:00,2573.0
2019-09-27 17:23:02.342550039+01:00,2648.0
2019-09-27 17:23:02.541549921+01:00,2722.0
2019-09-27 17:23:02.741450071+01:00,2785.0
2019-09-27 17:23:02.941600084+01:00,2852.0
2019-09-27 17:23:03.141700029+01:00,2907.0
2019-09-27 17:23:03.341500044+01:00,2973.0
2019-09-27 17:23:03.541599989+01:00,3030.0
2019-09-27 17:23:03.741650105+01:00,3085.0
2019-09-27 17:23:03.941600084+01:00,3089.0
2019-09-27 17:23:04.141649961+01:00,3026.0
2019-09-27 17:23:04.341799974+01:00,2769.0
2019-09-27 17:23:04.537800074+01:00,2532.0
2019-09-27 17:23:04.741699934+01:00,2278.0
2019-09-27 17:23:04.941900015+01:00,2030.0
2019-09-27 17:23:05.141700029+01:00,1789.0
2019-09-27 17:23:05.341749907+01:00,1553.0
2019-09-27 17:23:05.541650057+01:00,1308.0
2019-09-27 17:23:05.741650105+01:00,1154.0
2019-09-27 17:23:05.941699982+01:00,1139.0
2019-09-27 17:23:06.141949892+01:00,1533.0
2019-09-27 17:23:06.342000008+01:00,2262.0
2019-09-27 17:23:06.541800022+01:00,2060.0
2019-09-27 17:23:06.741849899+01:00,2220.0
2019-09-27 17:23:06.941849947+01:00,2164.0
2019-09-27 17:23:07.141900063+01:00,2147.0
2019-09-27 17:23:07.341799974+01:00,2177.0
2019-09-27 17:23:07.541850090+01:00,2215.0
2019-09-27 17:23:07.741800070+01:00,2256.0
2019-09-27 17:23:07.941800117+01:00,2302.0
2019-09-27 17:23:08.141849995+01:00,2325.0
2019-09-27 17:23:08.341949940+01:00,2365.0
2019-09-27 17:23:08.542200089+01:00,2410.0
