timestamps,S1_PID_0B_IntakeManiAbsPress
2019-09-27 17:23:33.723599911+01:00,83
2019-09-27 17:23:33.923700094+01:00,83
2019-09-27 17:23:34.123850107+01:00,83
2019-09-27 17:23:34.323649883+01:00,83
2019-09-27 17:23:34.523649931+01:00,83
2019-09-27 17:23:34.723649979+01:00,84
2019-09-27 17:23:34.923799992+01:00,84
2019-09-27 17:23:35.123699903+01:00,83
2019-09-27 17:23:35.323750019+01:00,83
2019-09-27 17:23:35.523750067+01:00,83
2019-09-27 17:23:35.723900080+01:00,83
2019-09-27 17:23:35.924000025+01:00,82
2019-09-27 17:23:36.123800039+01:00,66
2019-09-27 17:23:36.323800087+01:00,52
2019-09-27 17:23:36.523900032+01:00,45
2019-09-27 17:23:36.723900080+01:00,38
2019-09-27 17:23:36.923850060+01:00,36
2019-09-27 17:23:37.123850107+01:00,36
2019-09-27 17:23:37.323950052+01:00,37
2019-09-27 17:23:37.523849963+01:00,37
2019-09-27 17:23:37.723900080+01:00,37
2019-09-27 17:23:37.924000025+01:00,37
2019-09-27 17:23:38.123950005+01:00,38
2019-09-27 17:23:38.323899984+01:00,38
2019-09-27 17:23:38.523950100+01:00,38
2019-09-27 17:23:38.723949909+01:00,38
2019-09-27 17:23:38.923949957+01:00,39
2019-09-27 17:23:39.124650002+01:00,40
2019-09-27 17:23:39.323999882+01:00,40
2019-09-27 17:23:39.524100064+01:00,40
2019-09-27 17:23:39.723999977+01:00,40
2019-09-27 17:23:39.924000025+01:00,40
2019-09-27 17:23:40.124099970+01:00,40
2019-09-27 17:23:40.324100018+01:00,40
2019-09-27 17:23:40.524199963+01:00,39
2019-09-27 17:23:40.724349976+01:00,39
2019-09-27 17:23:40.924149990+01:00,39
2019-09-27 17:23:41.124249935+01:00,39
2019-09-27 17:23:41.324249983+01:00,39
2019-09-27 17:23:41.524250031+01:00,39
2019-09-27 17:23:41.724250078+01:00,39
