sampno,vehno
1737184,1.0
1737184,2.0
1737184,3.0
1738867,1.0
1739811,1.0
1740019,1.0
1740374,1.0
1740374,2.0
1740431,1.0
1740431,2.0
1740431,3.0
1741235,1.0
1741235,2.0
1741235,3.0
1741787,1.0
1741787,2.0
1741787,3.0
1743519,1.0
1743519,2.0
1743519,3.0
1743839,1.0
1743839,2.0
1743839,3.0
1743871,1.0
1743871,2.0
1743871,3.0
1746831,1.0
1746831,2.0
1747757,1.0
1747757,2.0
1749085,1.0
1749085,2.0
1750534,1.0
1750534,2.0
1750550,1.0
1750550,2.0
1751702,1.0
1753573,1.0
1753573,2.0
1753573,3.0
1753573,4.0
